Dataset Name (Auto),Spanish Title,English Title,Slide #,Major Categories
Nature's Harmonious Relationships,Las relaciones armoniosas de la naturaleza,Nature's Harmonious Relationships,6,
We Are All Related,Toda la vida est interconectada,We Are All Related,4,
Biosphere: Marine Chlorophyll Concentration and Land Vegetation,La vida vegetal en la tierra y en el océano,Plant life on the Land and in the Ocean,8,
Clouds - Real-time,Nubes en movimiento,Clouds on the Move,8,
GFS Forecast Model: Precipitation - Real-time,Pronóstico de precipitación,Precipitation Forecase,8,
Drought Risk - Real-time ,Riesgo de sequía,Drought Risk,8,
Fires - Real-time,Incendios durante el último ańo,Fires over the Last Year,8,
Temperature Anomaly: Monthly (NOAA) - 1880-2016,Cambios de temperatura desde 1850 hasta la actualidad,Changing Temperatures from 1850 to Now,8,
Credits: Nature's Harmonious Relationships,,,5,
Credits: We Are All Related,,,3,
